z,fgas,logM*,SFR,gas tracer,study,Is fgas an upper limit,logMgas
0.025,0.1765,10.2,6.38,CO(1-0),Saintonge et al. (2017),0,9.4467
0.02507,0.0309,10.04,0.02,CO(1-0),Saintonge et al. (2017),1,8.5303
0.02521,0.0753,10.47,2.14,CO(1-0),Saintonge et al. (2017),0,9.3466
0.02539,0.0204,10.33,0.36,CO(1-0),Saintonge et al. (2017),1,8.6398
0.02542,0.0309,10.21,0.03,CO(1-0),Saintonge et al. (2017),1,8.7003
0.0256,0.0204,10.7,0.59,CO(1-0),Saintonge et al. (2017),1,9.0098
0.02561,0.1236,10.13,1.57,CO(1-0),Saintonge et al. (2017),0,9.222
0.02568,0.0204,10.56,1.72,CO(1-0),Saintonge et al. (2017),0,8.8698
0.02574,0.0101,10.47,0.05,CO(1-0),Saintonge et al. (2017),1,8.4744
0.02575,0.0204,10.68,0.08,CO(1-0),Saintonge et al. (2017),1,8.9898
0.02579,0.0526,10.75,1.4,CO(1-0),Saintonge et al. (2017),0,9.4712
0.02581,0.0417,10.02,0.35,CO(1-0),Saintonge et al. (2017),0,8.6398
0.02582,0.0309,10.23,0.6,CO(1-0),Saintonge et al. (2017),0,8.7203
0.02595,0.3158,10.11,8.46,CO(1-0),Saintonge et al. (2017),0,9.6094
0.026,0.1236,10.05,1.68,CO(1-0),Saintonge et al. (2017),0,9.142
0.02602,0.0204,10.56,0.17,CO(1-0),Saintonge et al. (2017),1,8.8698
0.02605,0.0204,10.44,0.23,CO(1-0),Saintonge et al. (2017),0,8.7498
0.02615,0.0101,10.8,0.06,CO(1-0),Saintonge et al. (2017),1,8.8044
0.02616,0.0309,10.05,0.06,CO(1-0),Saintonge et al. (2017),1,8.5403
0.02619,0.0204,10.33,0.14,CO(1-0),Saintonge et al. (2017),0,8.6398
0.02619,0.0309,10.47,0.07,CO(1-0),Saintonge et al. (2017),1,8.9603
0.02623,0.0417,10.11,1.72,CO(1-0),Saintonge et al. (2017),0,8.7298
0.02624,0.0417,10.41,2.48,CO(1-0),Saintonge et al. (2017),0,9.0298
